#Time [ms]	Frametype	Length [byte]
#_____________________________________________________________
  18640		PB			  4948
  18880		PB			  5727
  19040		PB			  5796
  19200		PB			  5851
  19440		PB			  6053
  19600		PB			  6514
  19840		PB			  6593
  20000		PB			  6081
  20240		PB			  5826
  20320		PB			  5558
  20560		PB			  6103
  20720		PB			  6047
  20960		PB			  6876
  21040		 P			  8117
  21320		 P			  3626
  21400		 P			  3183
  21520		 P			  3239
  21600		 P			  3485
  21720		 P			  3525
  21840		 P			  3410
  21960		 P			  3293
  22040		 P			  3336
  22160		 P			  3131
  22240		 P			  3390
  22360		 P			  3457
  22480		 P			  3457
  22560		 P			  1714
  22640		 P			  4574
  22760		 P			  3510
  22880		 P			  3484
  23000		 P			  3408
  23080		 P			  3498
  23200		 P			  3724
  23320		 P			  3605
  23440		 P			  3362
  23520		 P			  3452
  23640		 P			  3356
  23760		 P			  3403
  23840		 P			  3643
  23960		 P			  3917
  24080		 P			  4047
  24200		 P			  3845
  24320		 P			  3623
  24440		 P			  3657
  24560		 P			  3456
  24680		 P			  3335
  24760		 P			  3192
  24880		 P			  1840
  24920		 P			  1683
  25080		PB			  5256
  25240		PB			  5403
  25400		PB			  6379
  25640		PB			  6148
  25800		PB			  6075
  26040		PB			  6596
  26200		PB			  5910
  26360		PB			  5886
  26600		PB			  6650
  26760		PB			  6108
  27000		PB			  6421
  27160		PB			  5820
  27320		PB			  6410
  27440		 P			  8300
  27720		 P			  2836
  27880		PB			  5721
  28120		PB			  6102
  28200		PB			  5703
  28520		PB			  6532
  28600		PB			  5860
  28920		PB			  6467
  29000		PB			  5887
  29240		PB			  6653
  29400		PB			  6363
  29640		PB			  6682
  29880		PB			  6508
  30040		PB			  6248
  30160		 P			  2599
  30240		 P			  3834
  30480		PB			  5003
  30560		PB			  4948
  30720		PB			  6165
  30960		PB			  6701
  31120		PB			  5814
  31360		PB			  6468
  31520		PB			  5828
  31760		PB			  6291
  31840		PB			  5627
  32160		PB			  7167
  32240		PB			  5647
  32560		PB			  7224
  32720		PB			  6294
  32880		PB			  6046
  33120		PB			  6497
