Time, StartPointBuffer, EndPointBuffer
11.600000, 5665.004395, 6091.996094
11.640000, 5668.804199, 6150.196289
11.680000, 5708.604004, 6150.396484
11.720000, 5652.403809, 6152.596680
11.760000, 5679.203613, 6124.796875
11.800000, 5748.003418, 6141.997070
11.840000, 5697.803223, 6079.197266
11.880000, 5699.603027, 6151.397461
11.920000, 5662.402832, 6074.597656
11.960000, 5713.202637, 6123.797852
12.000000, 5687.602539, 6133.397949
12.040000, 5680.002441, 6143.998047
12.080000, 5698.402344, 6080.598145
12.120000, 5707.802246, 6120.198242
12.160000, 5692.202148, 6100.798340
12.200000, 5724.602051, 6139.398438
12.240000, 5680.001953, 6165.998535
12.280000, 5667.401855, 6182.598633
12.320000, 5671.801758, 6076.198730
12.360000, 5653.201660, 6136.798828
12.400000, 5702.601563, 6071.398926
12.440000, 5669.001465, 6145.999023
12.480000, 5710.401367, 6132.599121
12.520000, 5702.801270, 6091.199219
12.560000, 5693.201172, 6106.799316
12.600000, 5722.601074, 6067.399414
12.640000, 5695.000977, 6028.999512
12.680000, 5728.400879, 6093.599609
12.720000, 5764.800781, 6072.199707
12.760000, 5722.200684, 6020.799805
12.800000, 5745.700684, 6041.299805
12.840000, 5751.200684, 6095.799805
12.880000, 5724.700684, 5958.299805
12.920000, 5752.200684, 6029.799805
12.960000, 5730.700684, 6003.299805
13.000000, 5715.200684, 6043.799805
13.040000, 5722.700684, 6021.299805
13.080000, 5791.200684, 6066.799805
13.120000, 5754.700684, 6064.299805
13.160000, 5778.200684, 6025.799805
13.200000, 5726.100586, 6088.899902
13.240000, 5752.000488, 6069.000000
13.280000, 5737.900391, 6007.100098
13.320000, 6654.800293, 6064.200195
13.360000, 6543.700195, 6069.300293
13.400000, 6411.600098, 6113.400391
13.440000, 6269.500000, 6069.500488
13.480000, 6128.399902, 6101.600586
13.520000, 6003.299805, 6115.700684
13.560000, 5915.199707, 6103.800781
13.600000, 5861.399902, 6114.600586
13.640000, 5773.600098, 6150.400391
13.680000, 5782.800293, 6138.200195
13.720000, 5723.000488, 6203.000000
13.760000, 5622.200684, 6235.799805
13.800000, 5664.400879, 6251.599609
13.840000, 5645.601074, 6290.399414
13.880000, 5577.801270, 6267.199219
13.920000, 5547.001465, 6326.999023
13.960000, 5561.201660, 6311.798828
14.000000, 5550.801758, 6310.198730
14.040000, 5580.401855, 6310.598633
14.080000, 5559.001953, 6271.998535
14.120000, 5648.602051, 6290.398438
