Time, StartPointBuffer, EndPointBuffer
13.120000, 11610.125000, 11482.875000
13.160000, 11608.500000, 11352.500000
13.200000, 11608.875000, 11430.125000
13.240000, 11601.250000, 11451.750000
13.280000, 11599.625000, 11493.375000
13.320000, 11607.000000, 11505.000000
13.360000, 11602.375000, 11503.625000
13.400000, 11604.750000, 11523.250000
13.440000, 11608.125000, 11546.875000
13.480000, 11611.500000, 11505.500000
13.520000, 11606.875000, 11535.125000
13.560000, 11608.250000, 11528.750000
13.600000, 11607.625000, 11532.375000
13.640000, 11603.000000, 11561.000000
13.680000, 11613.375000, 11543.625000
13.720000, 11612.750000, 11564.250000
13.760000, 11607.125000, 11572.875000
13.800000, 11608.500000, 9983.500000
13.840000, 11606.875000, 9898.125000
13.880000, 11606.250000, 9890.750000
13.920000, 11612.625000, 9896.375000
13.960000, 11605.000000, 9894.000000
14.000000, 11604.375000, 9898.625000
14.040000, 11609.750000, 9903.250000
14.080000, 11606.125000, 9909.875000
14.120000, 11609.500000, 9905.500000
14.160000, 11605.875000, 9900.125000
14.200000, 11607.250000, 9908.750000
14.240000, 11600.625000, 9904.375000
14.280000, 11608.000000, 9899.000000
14.320000, 11605.375000, 9896.625000
14.360000, 11609.750000, 9900.250000
14.400000, 11605.125000, 9901.875000
14.440000, 11603.500000, 9903.500000
14.480000, 11600.875000, 9898.125000
14.520000, 11606.250000, 9901.750000
14.560000, 11604.625000, 9899.375000
14.600000, 11606.000000, 9905.000000
14.640000, 11608.375000, 9895.625000
14.680000, 11604.750000, 9896.250000
14.720000, 11604.125000, 9899.875000
14.760000, 11603.500000, 9902.500000
14.800000, 11605.875000, 9907.125000
14.840000, 11599.250000, 9901.750000
14.880000, 11603.625000, 9899.375000
14.920000, 11600.000000, 9899.000000
14.960000, 11604.375000, 9899.625000
15.000000, 11604.750000, 9905.250000
15.040000, 11602.125000, 9903.875000
15.080000, 11605.500000, 9896.500000
15.120000, 11599.875000, 9899.125000
15.160000, 11602.250000, 9893.750000
15.200000, 11604.625000, 9905.375000
15.240000, 11599.000000, 9896.000000
15.280000, 11604.375000, 9899.625000
15.320000, 11593.750000, 9902.250000
15.360000, 11599.125000, 9898.875000
15.400000, 11599.500000, 9901.500000
15.440000, 11604.875000, 9903.125000
15.480000, 11601.250000, 9901.750000
15.520000, 11597.625000, 9903.375000
15.560000, 11602.000000, 9903.000000
15.600000, 11601.375000, 9900.625000
15.640000, 11595.750000, 9898.250000
15.680000, 11600.125000, 9899.875000
15.720000, 11594.500000, 9899.500000
15.760000, 11593.875000, 9907.125000
15.800000, 11595.250000, 9908.750000
15.840000, 11595.625000, 9901.375000
15.880000, 11596.000000, 9906.000000
15.920000, 11602.375000, 9903.625000
15.960000, 11615.750000, 9900.250000
16.000000, 11612.125000, 9896.875000
16.040000, 11610.500000, 9901.500000
16.080000, 11603.875000, 9900.125000
16.120000, 11602.250000, 9900.750000
16.160000, 11594.625000, 9905.375000
16.200000, 11595.000000, 9895.000000
16.240000, 11594.375000, 9895.625000
16.280000, 11595.750000, 9901.250000
16.320000, 11595.125000, 9899.875000
16.360000, 11598.500000, 9901.500000
16.400000, 11594.875000, 9902.125000
16.440000, 11593.250000, 9895.750000
16.480000, 11596.625000, 9903.375000
16.520000, 11599.000000, 9904.000000
16.560000, 11596.375000, 9898.625000
16.600000, 11602.750000, 9902.250000
16.640000, 11601.125000, 9898.875000
16.680000, 11598.500000, 9902.500000
16.720000, 11600.875000, 9901.125000
16.760000, 11606.250000, 9907.750000
16.800000, 11601.625000, 9900.375000
16.840000, 11601.000000, 9903.000000
16.880000, 11599.375000, 9898.625000
16.920000, 11599.750000, 9903.250000
16.960000, 11605.125000, 9904.875000
17.000000, 11599.500000, 9907.500000
17.040000, 11601.875000, 9902.125000
17.080000, 11606.250000, 9903.750000
17.120000, 11606.625000, 9902.375000
17.160000, 11600.000000, 9900.000000
17.200000, 11606.375000, 9903.625000
17.240000, 11602.750000, 9904.250000
17.280000, 11606.125000, 9904.875000
17.320000, 11602.500000, 9902.500000
17.360000, 11601.875000, 9909.125000
17.400000, 11602.250000, 9904.750000
17.440000, 11602.625000, 9908.375000
17.480000, 11599.000000, 9904.000000
17.520000, 11602.375000, 9903.625000
17.560000, 11604.750000, 9906.250000
17.600000, 11601.125000, 9902.875000
17.640000, 11603.500000, 9908.500000
17.680000, 11599.875000, 9906.125000
17.720000, 11604.250000, 9903.750000
17.760000, 11604.625000, 9909.375000
17.800000, 11605.000000, 9904.000000
17.840000, 11601.375000, 9914.625000
17.880000, 11602.750000, 9909.250000
17.920000, 11598.125000, 9908.875000
17.960000, 11601.500000, 9903.500000
18.000000, 11601.875000, 9907.125000
18.040000, 11601.250000, 9910.750000
18.080000, 11604.625000, 9906.375000
18.120000, 11599.000000, 9907.000000
18.160000, 11604.375000, 9912.625000
18.200000, 11603.750000, 9908.250000
18.240000, 11602.125000, 9913.875000
18.280000, 11601.500000, 9914.500000
18.320000, 11608.875000, 9913.125000
18.360000, 11603.250000, 9912.750000
18.400000, 11601.625000, 9912.375000
18.440000, 11600.000000, 9906.000000
18.480000, 11598.375000, 9892.625000
18.520000, 11603.750000, 9896.250000
18.560000, 11605.125000, 9897.875000
18.600000, 11602.500000, 9904.500000
18.640000, 11600.875000, 9906.125000
18.680000, 11599.250000, 9913.750000
18.720000, 11605.625000, 9913.375000
18.760000, 11599.000000, 9914.000000
18.800000, 11603.375000, 9912.625000
18.840000, 11601.750000, 9913.250000
18.880000, 11599.125000, 9909.875000
18.920000, 11602.500000, 9913.500000
18.960000, 11599.875000, 9915.125000
19.000000, 11599.250000, 9911.750000
19.040000, 11605.625000, 9909.375000
19.080000, 11599.000000, 9912.000000
19.120000, 11601.375000, 9905.625000
19.160000, 11599.750000, 9907.250000
19.200000, 11598.125000, 9909.875000
19.240000, 11605.500000, 9907.500000
19.280000, 11599.875000, 9902.125000
19.320000, 11598.250000, 9906.750000
19.360000, 11596.625000, 9907.375000
19.400000, 11594.000000, 9909.000000
19.440000, 11595.375000, 9908.625000
19.480000, 11599.750000, 9903.250000
19.520000, 11598.125000, 9908.875000
19.560000, 11602.500000, 9906.500000
19.600000, 11592.875000, 9902.125000
19.640000, 11598.250000, 9901.750000
19.680000, 11602.625000, 9908.375000
19.720000, 11605.000000, 9902.000000
19.760000, 11599.375000, 9905.625000
19.800000, 11597.750000, 9902.250000
19.840000, 11610.125000, 9905.875000
19.880000, 11603.500000, 9906.500000
19.920000, 11606.875000, 9906.125000
19.960000, 11606.250000, 9905.750000
20.000000, 11605.625000, 9909.375000
20.040000, 11601.000000, 9906.000000
20.080000, 11606.375000, 9903.625000
20.120000, 11599.750000, 9907.250000
20.160000, 11557.125000, 9904.875000
20.200000, 11499.500000, 9908.500000
20.240000, 11428.875000, 9904.125000
20.280000, 11366.250000, 9903.750000
20.320000, 11302.625000, 9903.375000
20.360000, 11215.000000, 9907.000000
20.400000, 11136.375000, 9905.625000
20.440000, 11048.750000, 9910.250000
20.480000, 10978.125000, 9906.875000
20.520000, 10904.500000, 9906.500000
20.560000, 10805.875000, 9907.125000
20.600000, 10724.250000, 9903.750000
20.640000, 10623.625000, 9909.375000
20.680000, 10526.000000, 9904.000000
20.720000, 10427.375000, 9904.625000
20.760000, 10338.750000, 9906.250000
20.800000, 10251.125000, 9906.875000
20.840000, 10185.500000, 9899.500000
20.880000, 10145.875000, 9905.125000
20.920000, 10154.250000, 9906.750000
20.960000, 10118.625000, 9908.375000
21.000000, 10105.000000, 9910.000000
21.040000, 10092.375000, 9904.625000
21.080000, 10105.750000, 9903.250000
21.120000, 10089.125000, 9905.875000
21.160000, 10098.500000, 9907.500000
21.200000, 10096.875000, 9909.125000
21.240000, 10096.250000, 9902.750000
21.280000, 10128.625000, 9909.375000
21.320000, 10107.000000, 9905.000000
21.360000, 10124.375000, 9906.625000
21.400000, 10120.750000, 9909.250000
21.440000, 10136.125000, 9905.875000
21.480000, 10148.500000, 9908.500000
21.520000, 10123.875000, 9909.125000
21.560000, 10090.250000, 9902.750000
21.600000, 10102.625000, 9909.375000
21.640000, 10108.000000, 9907.000000
21.680000, 10065.375000, 9908.625000
21.720000, 10066.750000, 9910.250000
21.760000, 10040.125000, 9902.875000
21.800000, 10056.500000, 9908.500000
21.840000, 10070.875000, 9910.125000
21.880000, 10054.250000, 9911.750000
21.920000, 10053.625000, 9914.375000
21.960000, 10037.000000, 9913.000000
22.000000, 10050.375000, 9908.625000
22.040000, 10051.750000, 9910.250000
22.080000, 10040.125000, 9905.875000
22.120000, 10030.500000, 9915.500000
22.160000, 10020.875000, 9910.125000
22.200000, 10049.250000, 9905.750000
22.240000, 10022.625000, 9903.375000
22.280000, 10038.000000, 9909.000000
22.320000, 10047.375000, 9910.625000
22.360000, 10020.750000, 9898.250000
22.400000, 10031.125000, 9904.875000
22.440000, 10069.500000, 9901.500000
